/Users/shuo/miniforge3/envs/fplibenv/lib/python3.10/site-packages/pymatgen/io/vasp/inputs.py:426: BadPoscarWarning: Selective dynamics toggled with Fluorine element detected. Make sure the 4th-6th entry each position line is selective dynamics info.
  warnings.warn(
/Users/shuo/miniforge3/envs/fplibenv/lib/python3.10/site-packages/pymatgen/io/vasp/inputs.py:438: BadPoscarWarning: Ignoring selective dynamics tag, as no ionic degrees of freedom were fixed.
  warnings.warn(
Processing and saving dataset in batches...
Saved 149795 data points in 586 batches
Epoch: [0][0/469]	Time 1.633 (1.633)	Data 0.249 (0.249)	Loss 1.2922 (1.2922)	MAE 1.144 (1.144)
Epoch: [0][10/469]	Time 1.081 (1.216)	Data 0.001 (0.024)	Loss 0.9464 (1.0658)	MAE 1.147 (1.154)
Epoch: [0][20/469]	Time 1.240 (1.205)	Data 0.001 (0.013)	Loss 0.6150 (0.9326)	MAE 0.955 (1.113)
Epoch: [0][30/469]	Time 1.149 (1.188)	Data 0.001 (0.009)	Loss 0.7946 (0.8732)	MAE 1.019 (1.074)
Epoch: [0][40/469]	Time 1.100 (1.189)	Data 0.001 (0.007)	Loss 0.6437 (0.8398)	MAE 0.961 (1.054)
Epoch: [0][50/469]	Time 1.130 (1.194)	Data 0.001 (0.006)	Loss 0.6389 (0.8050)	MAE 0.920 (1.031)
Epoch: [0][60/469]	Time 1.227 (1.225)	Data 0.001 (0.005)	Loss 0.7431 (0.7797)	MAE 0.938 (1.011)
Epoch: [0][70/469]	Time 1.178 (1.246)	Data 0.001 (0.005)	Loss 0.7144 (0.7568)	MAE 0.914 (0.994)
Epoch: [0][80/469]	Time 1.186 (1.236)	Data 0.001 (0.004)	Loss 0.6933 (0.7385)	MAE 0.939 (0.979)
Epoch: [0][90/469]	Time 1.156 (1.234)	Data 0.003 (0.004)	Loss 0.5397 (0.7212)	MAE 0.818 (0.967)
Epoch: [0][100/469]	Time 1.212 (1.233)	Data 0.001 (0.004)	Loss 0.5369 (0.7085)	MAE 0.810 (0.956)
Epoch: [0][110/469]	Time 1.127 (1.223)	Data 0.001 (0.004)	Loss 0.5382 (0.6958)	MAE 0.815 (0.945)
Epoch: [0][120/469]	Time 1.156 (1.219)	Data 0.001 (0.003)	Loss 0.6173 (0.6844)	MAE 0.863 (0.935)
Epoch: [0][130/469]	Time 1.211 (1.214)	Data 0.001 (0.003)	Loss 0.5138 (0.6757)	MAE 0.805 (0.928)
Epoch: [0][140/469]	Time 1.106 (1.207)	Data 0.001 (0.003)	Loss 0.5826 (0.6669)	MAE 0.820 (0.921)
Epoch: [0][150/469]	Time 1.167 (1.203)	Data 0.001 (0.003)	Loss 0.5488 (0.6583)	MAE 0.835 (0.915)
