/Users/shuo/miniforge3/envs/fplibenv/lib/python3.10/site-packages/pymatgen/io/vasp/inputs.py:426: BadPoscarWarning: Selective dynamics toggled with Fluorine element detected. Make sure the 4th-6th entry each position line is selective dynamics info.
  warnings.warn(
/Users/shuo/miniforge3/envs/fplibenv/lib/python3.10/site-packages/pymatgen/io/vasp/inputs.py:438: BadPoscarWarning: Ignoring selective dynamics tag, as no ionic degrees of freedom were fixed.
  warnings.warn(
Processing and saving dataset in batches...
Saved 149795 data points in 586 batches
Epoch: [0][0/469]	Time 1.900 (1.900)	Data 0.238 (0.238)	Loss 1.3790 (1.3790)	MAE 0.969 (0.969)
Epoch: [0][10/469]	Time 1.207 (1.364)	Data 0.001 (0.023)	Loss 0.7495 (1.0010)	MAE 0.808 (0.891)
Epoch: [0][20/469]	Time 1.299 (1.323)	Data 0.002 (0.013)	Loss 0.4967 (0.7890)	MAE 0.625 (0.783)
Epoch: [0][30/469]	Time 1.230 (1.313)	Data 0.001 (0.009)	Loss 0.4500 (0.6846)	MAE 0.575 (0.720)
Epoch: [0][40/469]	Time 1.239 (1.312)	Data 0.001 (0.007)	Loss 0.3552 (0.6124)	MAE 0.516 (0.674)
Epoch: [0][50/469]	Time 1.230 (1.307)	Data 0.001 (0.006)	Loss 0.3535 (0.5616)	MAE 0.489 (0.636)
Epoch: [0][60/469]	Time 1.337 (1.303)	Data 0.001 (0.005)	Loss 0.2804 (0.5161)	MAE 0.454 (0.604)
Epoch: [0][70/469]	Time 1.336 (1.302)	Data 0.001 (0.005)	Loss 0.2195 (0.4865)	MAE 0.396 (0.583)
Epoch: [0][80/469]	Time 1.317 (1.301)	Data 0.001 (0.004)	Loss 0.2302 (0.4593)	MAE 0.410 (0.563)
Epoch: [0][90/469]	Time 1.284 (1.300)	Data 0.001 (0.004)	Loss 0.2523 (0.4370)	MAE 0.423 (0.545)
Epoch: [0][100/469]	Time 1.327 (1.300)	Data 0.001 (0.004)	Loss 0.2615 (0.4172)	MAE 0.375 (0.529)
Epoch: [0][110/469]	Time 1.284 (1.297)	Data 0.001 (0.004)	Loss 0.2630 (0.4018)	MAE 0.387 (0.516)
Epoch: [0][120/469]	Time 1.315 (1.297)	Data 0.001 (0.003)	Loss 0.2985 (0.3878)	MAE 0.382 (0.503)
Epoch: [0][130/469]	Time 1.363 (1.297)	Data 0.001 (0.003)	Loss 0.1670 (0.3740)	MAE 0.325 (0.492)
Epoch: [0][140/469]	Time 1.284 (1.295)	Data 0.001 (0.003)	Loss 0.1710 (0.3618)	MAE 0.327 (0.483)
Epoch: [0][150/469]	Time 1.383 (1.295)	Data 0.001 (0.003)	Loss 0.1222 (0.3506)	MAE 0.281 (0.472)
Epoch: [0][160/469]	Time 1.306 (1.295)	Data 0.001 (0.003)	Loss 0.1887 (0.3408)	MAE 0.392 (0.463)
Epoch: [0][170/469]	Time 1.288 (1.294)	Data 0.001 (0.003)	Loss 0.1446 (0.3304)	MAE 0.277 (0.454)
Epoch: [0][180/469]	Time 1.343 (1.293)	Data 0.001 (0.003)	Loss 0.1583 (0.3208)	MAE 0.283 (0.444)
Epoch: [0][190/469]	Time 1.245 (1.293)	Data 0.001 (0.003)	Loss 0.1287 (0.3127)	MAE 0.274 (0.437)
Epoch: [0][200/469]	Time 1.309 (1.292)	Data 0.001 (0.003)	Loss 0.1622 (0.3052)	MAE 0.279 (0.429)
Epoch: [0][210/469]	Time 1.195 (1.291)	Data 0.001 (0.003)	Loss 0.1625 (0.2990)	MAE 0.341 (0.424)
Epoch: [0][220/469]	Time 1.277 (1.290)	Data 0.001 (0.003)	Loss 0.1498 (0.2928)	MAE 0.269 (0.418)
Epoch: [0][230/469]	Time 1.346 (1.291)	Data 0.001 (0.002)	Loss 0.0950 (0.2876)	MAE 0.269 (0.412)
Epoch: [0][240/469]	Time 1.246 (1.290)	Data 0.001 (0.002)	Loss 0.1332 (0.2810)	MAE 0.267 (0.406)
Epoch: [0][250/469]	Time 1.290 (1.290)	Data 0.001 (0.002)	Loss 0.1280 (0.2755)	MAE 0.297 (0.402)
Epoch: [0][260/469]	Time 1.319 (1.291)	Data 0.001 (0.002)	Loss 0.1275 (0.2708)	MAE 0.274 (0.397)
Epoch: [0][270/469]	Time 1.280 (1.292)	Data 0.001 (0.002)	Loss 0.1755 (0.2670)	MAE 0.299 (0.393)
Epoch: [0][280/469]	Time 1.263 (1.291)	Data 0.001 (0.002)	Loss 0.1663 (0.2621)	MAE 0.280 (0.389)
Epoch: [0][290/469]	Time 1.264 (1.291)	Data 0.001 (0.002)	Loss 0.0601 (0.2578)	MAE 0.181 (0.384)
